year,position,title,artist,pos_sentiment,neg_sentiment,neut_sentiment,compound_sentiment,f_k_grade,flesch_index,fog_index,num_syllables,difficult_words,num_dupes,num_words,num_lines,tags
1986,76,True Blue,Madonna,0.223,0.231,0.546,-0.8966,1.3,98.21,4.800000000000001,441.9,20,38,356,48,"electronic/dance, electronic/dance, pop"
1986,79,Bad Boy,Miami Sound Machine,0.113,0.449,0.438,-0.9988,-1.0,109.72,3.6,198.0,10,26,179,39,pop
1986,80,Sleeping Bag,ZZ Top,0.104,0.0,0.896,0.9058,1.3,98.21,4.800000000000001,169.2,10,9,140,18,rock
1986,81,Tonight She Comes,Cars,0.134,0.013,0.852,0.9762,0.9,99.23,4.4,300.6,15,23,255,42,
1986,82,Love Touch,Rod Stewart,0.297,0.052,0.651,0.9983,0.9,99.23,4.4,349.2,17,16,292,48,"pop, rock"
1986,83,A Love Bizarre,Sheila E.,0.246,0.13,0.624,0.9873,1.7,97.2,5.2,300.6,13,15,255,29,pop
1986,87,Nikita,Elton John,0.041,0.08,0.879,-0.8056,1.3,98.21,4.800000000000001,324.0,13,15,262,33,"pop, rock"
1986,88,Take Me Home,Phil Collins,0.065,0.105,0.831,-0.946,2.9,88.74,5.2,428.4,20,23,335,41,"jazz, pop, rock"
1986,89,Walk This Way,Run-D.M.C.,0.15,0.03,0.82,0.9915,-0.3,107.69,4.4,428.4,37,26,385,62,hip-hop/rnb
1986,90,Sweet Love,Anita Baker,0.257,0.126,0.617,0.9963,0.9,99.23,4.4,347.4,17,18,290,44,"jazz, hip-hop/rnb, soul"
1986,91,Your Wildest Dreams,Moody Blues,0.164,0.029,0.806,0.9779,1.3,92.8,3.6,283.5,10,27,226,46,
1986,92,Spies Like Us,Paul McCartney,0.133,0.06,0.807,0.9545,0.5,100.24,4.0,276.3,9,21,236,41,"classical/soundtrack, folk, pop, rock"
1986,94,Dreamtime,Daryl Hall,0.108,0.063,0.829,0.7214,1.7,97.2,5.2,444.6,23,17,358,42,
1986,95,Tender Love,Force M.D.'s,0.325,0.015,0.66,0.9967,1.7,91.78,4.0,217.8,21,9,173,30,
1986,96,King For A Day,Thompson Twins,0.24,0.043,0.718,0.9983,-0.7,108.7,4.0,422.1,13,50,375,69,
1986,97,Love Will Conquer All,Lionel Richie,0.111,0.092,0.798,0.7615,0.1,101.26,3.6,291.6,12,25,253,55,"pop, soul"
1986,98,A Different Corner,George Michael,0.141,0.198,0.662,-0.8092,1.7,97.2,5.2,206.1,8,6,170,21,"pop, rock"
1986,100,Go Home,Stevie Wonder,0.149,0.064,0.787,0.9884,2.1,96.18,5.6000000000000005,425.7,15,24,358,39,"pop, soul"
1987,1,Walk Like An Egyptian,Bangles,0.097,0.057,0.847,0.8387,2.1,90.77,4.4,288.9,27,13,230,35,"pop, rock"
1987,2,Alone,Heart,0.085,0.06,0.855,0.5553,1.3,98.21,4.800000000000001,209.7,11,14,181,25,rock
1987,4,I Wanna Dance With Somebody,Whitney Houston,0.183,0.033,0.784,0.9949,3.3,82.31,4.4,487.8,15,39,350,55,pop
1987,5,Nothing's Gonna Stop Us Now,Starship,0.173,0.118,0.709,0.9852,0.5,100.24,4.0,485.1,24,52,405,76,"pop, rock"
1987,6,C'est La Vie,Robbie Nevil,0.059,0.025,0.915,0.8604,-0.3,107.69,4.4,335.7,18,36,299,48,
1987,7,Here I Go Again,Whitesnake,0.176,0.059,0.765,0.9876,1.3,98.21,4.800000000000001,395.1,14,35,325,46,"blues, rock"
1987,8,The Way It Is,Bruce Hornsby and The Range,0.036,0.034,0.931,0.1141,0.1,106.67,4.800000000000001,240.3,12,14,218,31,
1987,9,Shakedown,Bob Seger,0.079,0.121,0.8,-0.9167,4.1,74.86,4.0,428.4,31,39,278,47,
1987,10,Livin' On A Prayer,Bon Jovi,0.141,0.065,0.794,0.9868,0.9,99.23,4.4,345.6,17,30,296,47,rock
1987,11,La Bamba,Los Lobos,0.0,0.034,0.966,-0.5267,4.5,73.85,4.4,198.0,18,22,134,22,"blues, folk, rock"
1987,12,Everybody Have Fun Tonight,Wang Chung,0.238,0.017,0.745,0.9967,6.4,57.94,4.0,448.2,19,35,265,50,"electronic/dance, pop, rock"
1987,13,Don't Dream It's Over,Crowded House,0.025,0.169,0.806,-0.99,-0.7,108.7,4.0,286.2,27,25,251,48,
1987,14,Always,Atlantic Starr,0.259,0.0,0.741,0.9973,0.9,99.23,4.4,286.2,9,26,246,37,"disco, pop"
1987,15,With Or Without You,U2,0.041,0.022,0.936,0.0974,0.5,100.24,4.0,211.5,4,27,183,35,
1987,16,Looking For A New Love,Jody Watley,0.427,0.025,0.548,0.9997,0.9,99.23,4.4,512.1,17,48,430,62,"electronic/dance, pop, soul"
1987,19,Mony Mony,Billy Idol,0.432,0.029,0.539,0.9993,0.9,99.23,4.4,406.8,10,23,339,51,"electronic/dance, rock"
1987,21,The Lady In Red,Chris De Burgh,0.195,0.02,0.785,0.9934,0.5,100.24,4.0,297.9,19,27,243,45,
1987,22,Didn't We Almost Have It All,Whitney Houston,0.268,0.009,0.724,0.998,0.9,99.23,4.4,342.9,15,28,292,42,pop
1987,23,I Still Haven't Found What I'm Looking For,U2,0.063,0.077,0.86,-0.5994,0.5,100.24,4.0,248.4,19,23,207,40,
1987,24,I Want Your Sex,George Michael,0.193,0.074,0.733,0.9929,0.5,100.24,4.0,422.1,24,28,364,65,"pop, rock"
1987,28,The Next Time I Fall,Peter Cetera,0.306,0.018,0.676,0.9982,-0.7,108.7,4.0,291.6,13,29,256,44,
1987,30,Open Your Heart,Madonna,0.127,0.036,0.837,0.9861,0.5,105.66,5.2,356.4,11,23,327,40,"electronic/dance, electronic/dance, pop"
1987,32,(I Just) Died In Your Arms,Cutting Crew,0.07,0.164,0.766,-0.9866,0.9,99.23,4.4,372.6,26,31,310,45,
1987,34,You Keep Me Hangin' On,Kim Wilde,0.114,0.065,0.821,0.9572,-0.3,107.69,4.4,373.5,11,25,342,52,
1987,35,Keep Your Hands To Yourself,Georgia Satellites,0.037,0.23,0.733,-0.9906,2.9,94.15,6.4,253.8,15,5,214,18,
1987,36,I Knew You Were Waiting,Aretha Franklin,0.165,0.061,0.774,0.9881,1.3,98.21,4.800000000000001,450.0,34,19,381,54,"jazz, pop, hip-hop/rnb, rock, soul"
1987,37,Control,Janet Jackson,0.132,0.008,0.861,0.9898,-0.3,107.69,4.4,416.7,17,25,363,58,"electronic/dance, pop"
1987,39,Somewhere Out There,Linda Ronstadt,0.224,0.026,0.75,0.9885,1.7,91.78,4.0,224.1,13,20,167,30,"country, folk"
1987,41,Jacob's Ladder,Huey Lewis and The News,0.123,0.033,0.844,0.9597,0.5,100.24,4.0,213.3,22,19,180,36,
1987,42,Who's That Girl,Madonna,0.057,0.072,0.871,-0.5972,0.9,99.23,4.4,373.5,15,39,313,46,"electronic/dance, electronic/dance, pop"
1987,45,I Just Can't Stop Loving You,Michael Jackson,0.217,0.093,0.69,0.9939,-0.7,108.7,4.0,453.6,24,25,427,72,"disco, pop, hip-hop/rnb, rock, soul"
1987,46,Causing A Commotion,Madonna,0.079,0.07,0.85,0.0772,6.0,69.79,6.0,46.8,9,0,32,3,"electronic/dance, electronic/dance, pop"
1987,48,Let's Wait Awhile,Janet Jackson,0.151,0.12,0.729,0.4763,2.1,90.77,4.4,281.7,19,9,222,32,"electronic/dance, pop"
1987,49,Hip To Be Square,Huey Lewis and The News,0.078,0.089,0.833,-0.6732,1.3,98.21,4.800000000000001,363.6,12,28,295,41,
1987,50,Will You Still Love Me?,Chicago,0.245,0.022,0.733,0.9988,0.1,106.67,4.800000000000001,480.6,14,33,439,58,"jazz, pop, rock"
1987,51,Little Lies,Fleetwood Mac,0.117,0.269,0.614,-0.9875,-0.3,107.69,4.4,239.4,5,22,213,34,"blues, pop, rock"
1987,52,Luka,Suzanne Vega,0.114,0.084,0.802,0.6121,0.9,99.23,4.4,296.1,14,24,250,41,pop
