"title","year","position","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","tags","id","popularity","duration_ms","explicit","artists","id_artists","release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"All I Have",2003,15,"Jennifer Lopez",0.147,0.126,0.727,0.9699,1.3,98.21,4.8,814.5,49,54,665,87,"electronic/dance, pop","1RQE33QW6K4YFKGPLHjbcC",50,254373,0,"['LL Cool J', 'Jennifer Lopez']","['1P8IfcNKwrkQP5xJWuhaOC', '2DlGxzQSjYe5N6G9nkYghR']","2002-10-08",0.707,0.655,1,-5.704,1,0.103,0.264,0,0.126,0.415,83.087,4
"All I Wanna Do",1994,34,"Sheryl Crow",0.167,0.035,0.798,0.9948,0.9,99.23,4.4,569.7,46,35,460,66,"country, folk, pop, rock","2PcJoVkfjcbvoqBxV1Nj7y",53,209393,1,"['Jay Park']","['4XDi67ZENZcbfKnvMnTYsI']","2016-10-20",0.613,0.668,8,-6.867,1,0.267,0.245,0,0.0735,0.509,96.176,4
"All I Wanna Do",1995,67,"Sheryl Crow",0.167,0.035,0.798,0.9948,0.9,99.23,4.4,569.7,46,35,460,66,"country, folk, pop, rock","2PcJoVkfjcbvoqBxV1Nj7y",53,209393,1,"['Jay Park']","['4XDi67ZENZcbfKnvMnTYsI']","2016-10-20",0.613,0.668,8,-6.867,1,0.267,0.245,0,0.0735,0.509,96.176,4
"All I Wanna Do Is Make Love To You",1990,16,"Heart",0.267,0.018,0.715,0.999,0.9,99.23,4.4,471.6,25,29,401,64,"rock","5YjKdeES9QRJ8NmF4Xc8pV",69,310893,0,"['Heart']","['34jw2BbxjoYalTp8cJFCPv']","1990-03-25",0.626,0.746,7,-8.832,1,0.0282,0.16,0,0.0618,0.8,102.896,4
"All Night Long",1999,74,"Faith Evans",0.214,0.077,0.709,0.9931,0.5,100.24,4,369,27,30,316,60,"","2ejJR5hcPNutVL6CwS82Y1",30,272275,0,"['Mary Jane Girls']","['7vRMMs8yrKf4PKUpUllMkr']","1974",0.822,0.227,9,-12.862,1,0.0922,0.232,0.00207,0.0411,0.857,87.219,4
"All Of Me",2014,3,"John Legend",0.166,0.093,0.741,0.985,0.9,99.23,4.4,403.2,28,28,333,51,"soul","0qZo9OzKPzg58Ts9ad4Bcy",37,202227,0,"['Ella Fitzgerald']","['5V0MlUE1Bft0mbLlND7FJz']","1962-01-21",0.551,0.49,4,-7.713,0,0.0613,0.813,0,0.0832,0.721,74.031,4
"All Of The Lights",2011,59,"Kanye West",0.06,0.03,0.91,0.3848,0.1,106.67,4.8,709.2,50,60,617,83,"hip-hop/rnb, religious","22L7bfCiAkJo5xGSQgmiIO",77,299613,1,"['Kanye West']","['5K4W6rqBFWDnAN6FQUkS6x']","2010-11-22",0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,4
"All Or Nothing",1990,79,"Milli Vanilli",0.114,0,0.886,0.9883,0.1,106.67,4.8,390.6,17,13,342,44,"","7u8P7Z4FCF6oXs0aXA7K89",43,183093,0,"['Small Faces']","['1YqGsKpdixxSVgpfaL2AEQ']","1967-06-02",0.345,0.638,2,-6.624,1,0.0295,0.163,0.000167,0.136,0.295,115.106,4
"All She Wants To Do Is Dance",1985,97,"Don Henley",0.087,0.025,0.888,0.9741,-0.7,108.7,4,369.9,24,33,328,55,"folk, rock","4yCRCEAfCMRyqCpBSd0qDp",59,269107,0,"['Don Henley']","['5dbuFbrHa1SJlQhQX9OUJ2']","1984-01-01",0.702,0.558,7,-11.952,1,0.0288,0.0304,0,0.0528,0.903,114.932,4
"All Star",1999,17,"Smash Mouth",0.106,0.046,0.848,0.9753,0.1,106.67,4.8,497.7,29,35,451,64,"","2rHIvPFa91dJ7ZbcqtMtUs",46,199173,0,"['Cássia Eller']","['10naVTwNjE50daQVrN0bXh']","2002-01-01",0.19,0.352,9,-10.434,1,0.0308,0.537,0,0.165,0.174,49.286,5
